CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;07/05/2021;24;0,515;R
ES0022000004433403RW1P;08/05/2021;1;0,218;R
ES0022000004433403RW1P;08/05/2021;2;0,294;R
ES0022000004433403RW1P;08/05/2021;3;0,191;R
ES0022000004433403RW1P;08/05/2021;4;0,101;R
ES0022000004433403RW1P;08/05/2021;5;0,105;R
ES0022000004433403RW1P;08/05/2021;6;0,104;R
ES0022000004433403RW1P;08/05/2021;7;0,107;R
ES0022000004433403RW1P;08/05/2021;8;0,102;R
ES0022000004433403RW1P;08/05/2021;9;0,096;R
ES0022000004433403RW1P;08/05/2021;10;0,195;R
ES0022000004433403RW1P;08/05/2021;11;0,695;R
ES0022000004433403RW1P;08/05/2021;12;0,294;R
ES0022000004433403RW1P;08/05/2021;13;0,160;R
ES0022000004433403RW1P;08/05/2021;14;0,180;R
ES0022000004433403RW1P;08/05/2021;15;0,162;R
ES0022000004433403RW1P;08/05/2021;16;0,173;R
ES0022000004433403RW1P;08/05/2021;17;0,818;R
ES0022000004433403RW1P;08/05/2021;18;0,522;R
ES0022000004433403RW1P;08/05/2021;19;0,209;R
ES0022000004433403RW1P;08/05/2021;20;0,666;R
ES0022000004433403RW1P;08/05/2021;21;1,965;R
ES0022000004433403RW1P;08/05/2021;22;0,960;R
ES0022000004433403RW1P;08/05/2021;23;0,466;R
ES0022000004433403RW1P;08/05/2021;24;0,370;R
ES0022000004433403RW1P;09/05/2021;1;0,157;R
ES0022000004433403RW1P;09/05/2021;2;0,112;R
ES0022000004433403RW1P;09/05/2021;3;0,113;R
ES0022000004433403RW1P;09/05/2021;4;0,101;R
ES0022000004433403RW1P;09/05/2021;5;0,145;R
ES0022000004433403RW1P;09/05/2021;6;0,176;R
ES0022000004433403RW1P;09/05/2021;7;0,099;R
ES0022000004433403RW1P;09/05/2021;8;0,120;R
ES0022000004433403RW1P;09/05/2021;9;0,121;R
ES0022000004433403RW1P;09/05/2021;10;0,103;R
ES0022000004433403RW1P;09/05/2021;11;0,332;R
ES0022000004433403RW1P;09/05/2021;12;0,467;R
ES0022000004433403RW1P;09/05/2021;13;0,515;R
ES0022000004433403RW1P;09/05/2021;14;1,192;R
ES0022000004433403RW1P;09/05/2021;15;0,711;R
ES0022000004433403RW1P;09/05/2021;16;1,773;R
ES0022000004433403RW1P;09/05/2021;17;1,121;R
ES0022000004433403RW1P;09/05/2021;18;0,458;R
ES0022000004433403RW1P;09/05/2021;19;0,393;R
ES0022000004433403RW1P;09/05/2021;20;0,400;R
ES0022000004433403RW1P;09/05/2021;21;0,696;R
ES0022000004433403RW1P;09/05/2021;22;0,356;R
ES0022000004433403RW1P;09/05/2021;23;0,283;R
ES0022000004433403RW1P;09/05/2021;24;0,313;R
ES0022000004433403RW1P;10/05/2021;1;0,190;R
ES0022000004433403RW1P;10/05/2021;2;0,139;R
ES0022000004433403RW1P;10/05/2021;3;0,117;R
